,0
91901,Alpine
92065,Ramona
91905,Boulevard
91906,Campo
91902,Bonita
91908,Bonita
91909,Chula Vista
91910,Chula Vista
91911,Chula Vista
91913,Chula Vista
91914,Chula Vista
91915,Chula Vista
91921,Chula Vista
91917,Dulzura
91916,Descanso
91932,Imperial Beach
91934,Jacumba
91935,Jamul
91941,La Mesa
91942,La Mesa
91944,La Mesa
91945,Lemon Grove
91946,Lemon Grove
91950,National City
91962,Pine Valley
91976,Spring Valley
91977,Spring Valley
91978,Spring Valley
91980,Tecate
91987,Tecate
92003,Bonsall
92004,Borrego Springs
92007,Cardiff
92008,Carlsbad
92009,Carlsbad
92010,Carlsbad
92011,Carlsbad
92018,Carlsbad
92014,Del Mar
92019,El Cajon
92020,El Cajon
92021,El Cajon
92022,El Cajon
92024,Encinitas
92025,Escondido
92026,Escondido
92027,Escondido
92029,Escondido
92033,Escondido
92028,Fallbrook
92088,Fallbrook
92036,Julian
92037,La Jolla
92040,Lakeside
92049,Oceanside
92051,Oceanside
92052,Oceanside
92054,Oceanside
92055,Oceanside
92056,Oceanside
92057,Oceanside
92058,Oceanside
92059,Pala
92061,Pauma Valley
92064,Poway
92067,Rancho Santa Fe
92091,Rancho Santa Fe
92069,San Marcos
92078,San Marcos
92096,San Marcos
92070,Santa Ysabel
92071,Santee
92072,Santee
92074,Poway
92075,Solana Beach
92081,Vista
92083,Vista
92084,Vista
92085,Vista
92082,Valley Center
92086,Warner Springs
92092,La Jolla
92093,La Jolla
92101,Downtown
92102,Golden Hill
92103,"Hillcrest, Mission Hills"
92104,North Park
92105,City Heights
92106,Point Loma
92107,Ocean Beach
92108,Mission Valley
92109,"Pacific Beach, Mission Beach"
92110,Morena
92111,Linda Vista
92113,Logan Heights
92114,Encanto
92115,College
92116,"Kensington, Normal Heights"
92117,Clairemont
92118,Coronado
92119,San Carlos
92120,"Allied Gardens, Del Cerro"
92121,Sorrento Valley
92122,University City
92123,Serra Mesa
92124,Tierrasanta
92126,Mira Mesa
92127,Rancho Bernardo
92128,Rancho Bernardo
92129,Penasquitos
92130,Carmel Valey
92131,Scripps Ranch
92132,Downtown
92134,Balboa Park
92135,Coronado
92136,Logan Heights
92139,Paradise Hills
92140,Midway
92145,Miramar
92152,Point Loma
92154,Otay Mesa
92155,Coronado
92161,La Jolla
92170,Downtown
92173,San Ysidro
92175,College
92178,Coronado
92179,Otay Mesa
92182,College
92192,University City
92195,College
